,link,name,price,rating,description,how_to_use,country_of_origin
10,https://goldapple.ru/19000132669-bergamote-bielo-fema,24.GRAMS Bergamote bielo fema,1 750₽,2.5,"Диффузор ароматический с фибровыми палочками с ярким ароматом ""Бергамот"", в котором переплетаются ноты зеленых цитрусов и бергамота, делая аромат свежим и бодрящим.Используя разное количество палочек можно удобно регулировать интенсивность аромата в помещении: чем больше палочек вставлено в диффузор, тем сильнее и насыщеннее распространяется аромат.Стойкость аромата до 90 дней, в зависимости от помещения и интенсивности использования","Инструкция по использованию:- Открыть крышку флакона - Вставить палочки.Важно: от количества используемых палочек зависит интенсивность аромата в помещении.Для начала рекомендуем начать с 2-х палочек и по необходимости увеличить количество.- Для более насыщенной отдачи аромата можете перевернуть палочки, чтобы пропитанная часть оказалась сверхуКаждый аромат может раскрываться индивидуально, это особенности обонятельных рецепторов каждого человека. Для кого-то один аромат может показаться слишком ярким и насыщенным, а для другого - он будет еле различим. Мы рекомендуем выбирать аромат в первую очередь из своих предпочтений.А при использовании в помещении советуем немного приоткрыть окно, чтобы в помещении было движение воздуха. Благодаря этому аромат будет распространяться еще лучше.",Россия
11,https://goldapple.ru/19000222202-ambre-insomniaque,ANTINOMIE Ambre Insomniaque,7 159₽,4.6,"Мы мечтаем, но не спим!Свежий аромат, который пробуждает чувства энергичными нотами персика и лимона. Но не доверяйте первому впечатлению: теплая амбра и белый мускус раскрываются на протяжении всей композиции.Ambre Insomniaque — готовы ли вы мечтать с широко открытыми глазами?",Только для наружного применения.,Франция
12,https://goldapple.ru/26730600001-bal-d-afrique,BYREDO Bal d`Afrique,38 180₽,4.6,"Ревущие двадцатые годы… В знаменитом Мулен Руж жарче, чем в самой Африке, ведь на сцене Жозефина Бейкер! Черная жемчужина, танцующая богиня, ставшая символом эпохи! Воплощение самых смелых мужских фантазий. Bal d’Afrique – страстная смесь теплых и романтических нот ветивера, навеянная образом Парижа конца 20-х годов, африканской культурой, искусством, музыкой и танцами. Парижский авангард и африканская культура создают странное, полное энергии и страстей сочетание.",нет информации,Франция
13,https://goldapple.ru/19000017110-solo-ella,LOEWE SOLO ELLA,17 150₽,4.8,"Туалетная вода для женщин LOEWE Solo Ella принадлежит к фруктовым цветочно-древесным ароматам. Питахайя и маракуйя сочетаются в ней со сладкими нотами пралине, ванили и сахарной ваты, создавая стойкий и сбалансированный аромат.Женские ароматы коллекции LOEWE Solo несут с собой ощущение гармонии, подобное тому, какое возникает при созерцании заката. Поэтому их композиции, состоящие из четырех контрастных аккордов, отличаются стойкостью и долговечностью.В LOEWE Solo Ella выделяются ноты ванили, сандала и амбры. Будучи частью коллекции LOEWE Botanical Rainbow, этот аромат отражает многообразие природы через эмоциональные нюансы. Женские ароматы Botanical Rainbow созданы для сочетания или использования в паре и способны подарить необычные и незабываемые впечатления.Например, туалетную воду LOEWE Solo Ella можно комбинировать с LOEWE Agua Ellal, чтобы взаимно обогатить их и создать уникальный общий аромат. Такое взаимодействие происходит как при нанесении на разные участки тела, так и при использовании двумя людьми, находящимися рядом.LOEWE Solo Ella представлен в фирменной упаковке, украшенной работой «Centaurea ruthenica» Карла Блоссфельдта, подчеркивающей уникальность аромата. Культовый прямоугольный флакон, созданный креативным директором LOEWE Джонатаном Андерсоном, выполнен в ярком оранжевом цвете.LOEWE Perfumes представляет широкий ассортимент коллекционных ароматов — многогранные творения, воздействующие на все органы чувств и воплощающие сущность природных элементов.","Небольшое количество нанести на тело, избегая попадания в глаза.",Испания
14,https://goldapple.ru/19000139031-whisper,MIPASSION WHISPER,1 179₽,4.9,"Аромасвеча в мини-формате подойдет для знакомства с новым ароматом, дополнит любой подарок, а также удобна в качестве тревел-версии – чтобы в любом месте планеты чувствовать себя как дома с любимыми ароматами.В свечах MIPASSIN используется только экологичный соевый воск, бамбуковые фитили для эффекта живого потрескивающего огня и термостойкие парфюмированные композиции – уникальные селективные ароматы из США, глубокие, роскошные, с множеством нот.Темпераментный аромат терпкого табака, нагретого на солнце лимона и кожи с нотами лаванды и ванили - композиция, которую предпочтут страстные и яркие личности.До 10 часов и наслаждения ароматом селективного парфюма.","• Перед первым использованием свечи подрежьте фитиль до 3-4 мм• Всегда давайте воску расплавиться по всей поверхности свечи во избежание образования лунок около фитиля (в дальнейшем это может привести к заливке фитиля воском – свеча будет гаснуть)• Всегда устанавливайте свечу на поверхностях, устойчивых к воздействию тепла, избегая печей и прочих горячих поверхностей• Не зажигайте свечу в помещении, где она будет находиться в зоне прямого доступа для маленьких детей и домашних животных• Всегда держите горящую свечу в вертикальном положении, чтобы воск сгорал равномерно• Гасите свечу, накрыв ее крышкой• Давайте свече полностью остыть перед тем, как вновь ее использовать• Для обеспечения оптимального горения подрезайте деревянный фитиль так, чтобы его длина над поверхностью составляла 3-4 мм• Очищайте воск от отходов горения• Всегда используйте свечу вдали от штор, вентиляционных труб и вентиляторов• Если вы используете несколько свечей одновременно, оставьте между ними расстояние в 10 см• Погасите свечу после 2 часов непрерывного использования и никогда не оставляйте горящую свечу в помещении без присмотра• Всегда используйте для гашения свечи крышку• Погасите свечу до того, как весь воск сгорит, ее остаточная высота должна быть не менее 1 см• Не оставляйте свечу на жаре и прямыми солнечными лучами, во избежание расплавления воска.",Россия
15,https://goldapple.ru/19000259588-neroli-patchouli-honey-amber,"ZIELINSKI & ROZEN Neroli, Patchouli, Honey, Amber",2 690₽,4.7,"Аромат категории унисекс. Долго сохраняется на коже, оставляя легкий шлейф.",Спрей. Распылять на кожу с расстояния 30 см. Для усиления стойкости аромата наносить на разогретое или влажное тело.,Россия
16,https://goldapple.ru/19000200195-where-love-belongs-22-07,NEYDO Where love belongs 22.07,6 200₽,4.4,"Аромат Where Love Belongs – это сон Андреа о взаимопонимании, родстве душ, уюте и тишине. Загородный дом в Провансе, чистота и свежесть раннего утра, солнечные лучи на белоснежных простынях, легкое колыхание штор и бесконечная ЛЮБОВЬ, которую никто не в силах потревожить. Аромат-нежность, где ноты мандарина, бергамота, красных ягод и иланг-иланга чудесно переплетаются с запахом ландышей и апельсинов.Страна производства парфюмерной композиции - Испания.Andrea, 22.07Открываю глаза и не могу сообразить, где нахожусь. Похоже, что в загородном доме: интерьер в стиле прованс, льняные шторы тихо колышет ветер, мягкий утренний свет струится через полуоткрытое окно, за которым чувствуется летний простор. По белоснежной простыне скользят волнообразные тени, отчего она напоминает ручей. Провожу рукой по кровати. Другая сторона еще теплая. Я зарываюсь носом в подушку и вдыхаю знакомый запах – мне становится легко и свободно. Я абсолютно счастлива!На тумбочке – мои любимые книги, над головой кружит вентилятор из живых ландышей, с каждым оборотом все больше и больше наполняя комнату нежным прохладным ароматом. Я слышу шум льющейся воды. Подхожу к ванной, трогаю ручку, но дверь заперта. И тут я внезапно оказываюсь за большим деревянным столом, стоящим прямо на цветущем лугу! Я любуюсь полевыми цветами и пью апельсиновый сок из стакана, который наполняется сам собой.От удовольствия закрываю глаза. Но звук тихо поворачивающейся ручки возвращает меня в комнату. Дверь в ванную наконец открывается. Мое сердце замирает, потому что сейчас я увижу…свою настоящую любовь!Страна происхождения товара может отличаться (Республика Корея/Франция).",Только для наружного применения.,Франция
17,https://goldapple.ru/19000208702-beso-feliz,BESO BEACH BESO FELIZ,9 060₽,4.5,"BESO FELIZ посвящен острову Ибица, который был пристанищем хиппи в 60-е годы.Аромат предлагает насладиться жизнью и проникнуться атмосферой гармонии, счастья. Аккорд каннабиса передает умиротворение и радость.Цветочные и бальзамические ноты символизируют любовь и свободу. Характер и личность композиции проявляются благодаря древесным нотам.",Распылите на кожу с расстояния 20-30 см.,Испания
18,https://goldapple.ru/19000206604-portraits-of-portofino,BIRKHOLZ Portraits of Portofino,19 816₽,4.8,"Свежий цветочно-цитрусовый аромат BIRKHOLZ – это парфюмерный портрет итальянского города Портофино. Передать глубокую синеву моря, яркие краски залитого солнцем побережья и оттенки ясного неба помогают освежающие ноты цитрусов, которые гармонично сочетаются с нежностью белых цветов, магнолии и жасмина.Как и живописный пейзаж гавани Портофино, эта светлая композиция заставляет забыть обо всех заботах, отвлечься от мыслей и насладиться мгновением покоя и красоты.",Только для наружного применения.,Германия
19,https://goldapple.ru/19000099040-santal,CASA LEGGERA Santal,2 490₽,4.3,"Ароматическая свеча Santal - Чувственный, глубокий, харизматичный и жгучий, аромат, который окутывает теплотой и наполняет силой. Это настоящий клад для любителей восточных мотивов. В нём соединены древесные оттенки, корица, кориандр и ноты сандала.Время горения не менее 40 часов.Оптимальная Температура хранения от +10 до +25 °С.","- Подрезать фитиль при каждом использовании, так свеча не будет ""коптить"". Оптимальная высота фитиля 5мм.- Тушить свечу крышкой.- Не оставлять свечу без присмотра- Держать подальше от солнечных лучей",Россия
20,https://goldapple.ru/7030300002-boss-bottled,HUGO BOSS Boss Bottled,8 400₽,4.8,"Мужчина в стиле BOSS рожден быть успешным — он готов к соперничеству, мотивирован и амбициозен.Ежедневный утренний ритуал — неотъемлемая составляющая его успеха, и туалетная вода Hugo Boss Bottled становится его незаменимым оружием на этом пути. Стойкий и современный BOSS Bottled — это легендарная классика в аккуратном и строгом флаконе, прекрасное воплощение стиля BOSS.Яркий аромат со свежими и чувственными нотами подчеркивает индивидуальность и изысканность вашего образа и воплощает в себе радость жизни.Аромат герани с едва различимым оттенком гвоздики преобладает над теплыми, пряно-цветочными сердечными нотами, уравновешивая свежую фруктовую верхнюю ноту.Базовая нота решительно мужская — это пульсирующая гармония сандалового дерева, кедра и ветивера.BOSS Bottled — это классика, которая всегда остается актуальной.",нет информации,Испания
21,https://goldapple.ru/19000203076-one-eau-de-toilett,CALVIN KLEIN One Eau De Toilett,7 320₽,4.6,"Туалетная вода унисекс Calvin Klein CK One – это культовая классика, отражающая суть человеческого духа, сокрытого в каждом из нас. Невероятно смелая мужская и одновременно женская туалетная вода наполнена свежей, юной энергией.Аромат унисекс воспевает нашу схожесть и различия, а также бесчисленные возможности для тех, кто не боится нарушать принятые нормы. Спокойный минималистический стиль Calvin Klein – как белое полотно, на которым Вы пишите картину собственной жизни. Эта авангардная инклюзивная туалетная вода предназначена для мужчин в поисках собственной уникальности и для женщин, которые своим стилем жизни бросают вызов социальным нормам.Гендерно-нейтральные духи с цитрусовым ароматом от парфюмера Альберто Морильяса открываются освежающим звенящим аккордом зеленого чая, папайи и бергамота. За идеально сбалансированными нотами сердца с мускатным орехом, фиалкой, кардамоном и розой следуют приглушенные, словно затуманенные базовые ноты, в которых несравненная амбра встречается с мускусом.Оригинальный гендерно-нейтральный аромат Calvin Klein CK One стал первой парфюмерной композицией, созданной не по правилам, главной туалетной водой для анархистов в душе.",нет информации,Испания
22,https://goldapple.ru/19000328966-noche,OLIENTE NOCHE,12 831₽,5,"Ароматы oLiente отражают характер того, кто их носит, и намекают на особые черты и подход к жизни.Парфюмерная вода NOCHE (100 мл + 10 мл), подходящая и для женщин, и для мужчин, погружает в магию теплой ночи. Солнце садится, унося с собой все заботы повседневной жизни.Таинственная темная ночь интригует чувственными обещаниями и переносит в волшебный мир тех, кто готов ощутить полную свободу и дать волю своим мечтам и желаниям, страсти и воображению. Освежающие и сочные фруктовые ноты дарят чувство освобождения, а мягкая гармония аниса, амбры, ванили и мускуса придает аромату соблазнительную теплоту.Верхние ноты: фруктовые ноты, зеленый аккорд.Ноты сердца: анис, фруктовые ноты.Базовые ноты: амбра, мускус, ваниль.",Только для наружного применения.,Турция
23,https://goldapple.ru/19000239673-maison-strawberry-champagne,ALAN BRAY Maison Strawberry Champagne,6 500₽,4.5,"Наши первые встречи были полны бескрайних улыбок и бесконечных разговоров, как мельчайшие пузырьки шампанского в бокале.Вдохновленный этими моментами, я создал аромат Strawberry Champagne, чтобы запечатлеть наше первое свидание.Начальные ноты этого аромата отражают свежесть и яркость прибрежных закатов: сочные ягоды клубники и малины, сладкая земляника и свежее яблоко, как символы нашей юности и беззаветной радости.Сердце этого аромата - ноты карамели, которые воплощают в себе самые сладкие моменты, когда наши глаза встречались, и мы погружались в бесконечный мир друг друга.А завершающие ноты ванильного шлейфа - это самые искренние объятия, которые остались в памяти навсегда.Strawberry Champagne - это ода любви и первому свиданию, напоминающая о наших головокружительных чувствах и самых счастливых моментах, проведенных вдвоем.","Нанести на шею, запястье, локтевые сгибы.",Россия
24,https://goldapple.ru/7430800003-pour-homme,VERSACE Pour Homme,10 880₽,4.8,"Туалетная вода Versace Pour Homme впитала в себя средиземноморский характер, имея в своем составе ингредиенты местного происхождения. Древесный аромат туалетной воды подойдет умным и сильным мужчинам, привыкшим шагать в ногу со временем. Верхние ноты Pour Homme дарят свежесть и состоят из лимона, бергамота, апельсиновых листьев и нероли. Букет из голубого гиацинта, герани, мускатного шалфея и кедра составляет ноты сердца парфюма. Завершит этот гармоничный образ шлейф из мускуса, агарового дерева и бобов тонка. С Versace вы всегда будете производить впечатление стильного и эффектного мужчины, а стойкий аромат окутает вас чувственностью и шармом на весь день.",нет информации,Италия
25,https://goldapple.ru/19000009358-coeur-de-petales,L'ATELIER PARFUM COEUR DE PÉTALES,8 079₽,4.6,"Игривый, чувственный аромат COEUR DE PÉTALES от L’ATELIER PARFUM – это пышный и красочный букет, в котором собрали пион, жасмин и ландыш. Изящная и воздушная композиция играет с контрастами: нежные цветы гармонично сочетаются с острым сычуаньским перцем, сочная и яркая нота личи усиливает звучание изысканной розы. Многогранный и при этом лёгкий аромат отражает радость жизни и биение сердца, ритм которого ускоряется или замедляется в зависимости от эмоций. Парфюмер – Dorothee Piot.Верхние ноты – бергамот, мандарин, персик, сычуаньский перец, фиалкаНоты сердца – роза, ландыш, жасминБазовые ноты – малина, миндаль",нет информации,Франция
26,https://goldapple.ru/19000152130-fame,RABANNE Fame,12 167₽,4.8,"FAME – рожденная сиять.FAME – авангардный женский аромат от Rabanne, созданный для девушки, которая всегда в центре внимания. Уверенная, харизматичная и всегда неповторимая, она привлекает взгляды не только внешним обликом, но и своей энергией и харизмой.Драгоценная, как ювелирное изделие, и желанная, как легендарное платье-кольчуга от Rabanne. Флакон аромата FAME облачен в культовое металлическое платье от Модного Дома Rabanne — символ авангардной роскоши и смелости. Сияющая, она отражает самые яркие образы парижской it girl от Rabanne.Шипровая фруктово-цветочная парфюмерная вода FAME изобилует драгоценными ингредиентами, которые подчеркивают уникальность женщины. Нежный жасмин в его чистейшей форме, сочное манго и сливочный ладан создают пленительную композицию, которая позволяет сиять ярче звезд. Подобно легендарному платью-кольчуге, аромат обволакивает тело тончайшим слоем из стиля, уверенности и неподвластной времени элегантности.FAME это не только роскошь, но и осознанный выбор. Аромат изготовлен из натуральных ингредиентов (90% состава) и создан в Грассе, сердце парфюмерного искусства.","Нанести на кожу, избегая попадания в глаза.Для более полного раскрытия аромата рекомендуется нанести его на точки пульса на шее, зоне декольте и запястьях.",Франция
27,https://goldapple.ru/28330100005-no-4-apres-l-amour,THOMAS KOSMALA № 4 Après l'Amour,20 463₽,4.6,"Утонченный, многогранный аромат THOMAS KOSMALA отражает чувственный момент прикосновения кожи к коже. Парфюмерная композиция, таящая в своем сердце специи, воплощает томное настроение и энергию любви. Горький апельсин и лимонная цедра создают сияние верхних нот и постепенно остывают до базовых нот мускуса, амбры и сухого древесного аккорда.Обращаем внимание, цвет аромата может незначительно отличаться вследствие наличия в составе натуральных природных компонентов, используемых для производства товара.",нет информации,Франция
28,https://goldapple.ru/19000144348-perfumed-shower-gel-men,DEXCLUSIVE Men Black Amber Vetiver,356₽,4.8,"Подарите себе приятный ритуал ухода в сопровождении чарующих ароматов вместе с DEXCLUSIVE.Гель для душа Men – настоящий взрыв.Аромат яркий, приятный. Остается на теле еще в течение нескольких часов, но не перебивает аромат парфюма.Гель для душа отлично расслабляет после тяжелого дня.Гель для душа очень приятный, не липкий, хорошо распределяется по телу, как с помощью мочалки, так и рук.Консистенция геля достаточно жидкая, расход продукта экономичный.После использования кожа нежная, мягкая, обновленная.Это настоящая находка для любителей глубокого очищения кожи.Избегайте попадания в глаза. В случае попадания в глаза, промыть большим количеством воды.","Вспеньте средство с водой и нанесите на тело с помощью мочалки или губки.Хорошо помассируйте тело, затем хорошо смойте.",Турция
29,https://goldapple.ru/19000235935-guidance,AMOUAGE Guidance,57 980₽,4.8,"НЕЖНАЯ СИЛА ЖЕНСТВЕННОСТИБашня из слоновой кости, окутанная редкими облаками… Из нежного грушевого тумана, манящего аромата миндального молочка и жемчужной росы ладана складывается образ уютного убежища.Шепот принцессы зовет вас в глубь пышного сада, где цветы османтуса разливают свой пьянящий абрикосовый аромат. В центре сада поблескивает фонтан, его мраморная чаша усыпана алыми розами, чей чувственный аромат встречается с кожаными оттенками шафрана, рассыпанного на полу.Сквозь завесу знойного жасмина идет женщина, и с ней приходит аромат темной ванили и сандалового дерева с нотами кожи, амбровые оттенки лабданума и вкрадчивые ноты королевской амбры. «Кто вы?» — спрашивает она. Вас заметили.Аромат GUIDANCE — непривычная интерпретация триады Amouage, состоящей из розы, ладана и амбры, — звучит как поэма, ощущается как объятья, воспринимается как мудрое изречение.","Парфюмерную воду следует наносить с расстояния 10-15 см. на тепловые точки: под коленями, область живота, запястья, сгибы локтей, район солнечного сплетения, точки за ушами, основание шеи со стороны спины, затылок. Как правило на одну точку достаточно один раз нажать на спрей. Растирать парфюмерную воду не рекомендуется, так как это может нарушить правильный процесс раскрытия композиции. Для повышения стойкости рекомендуем наносить на хорошо увлажненную кожу, комбинируя с кремом, молочком или маслом для тела.",Оман
30,https://goldapple.ru/19000230982-n-4-neo,THOMAS KOSMALA №4 Neon,20 463₽,4.8,"Бодрящая, свежая и фруктовая! Парфюмерная вода THOMAS KOSMALA PARIS расширяет ольфактивный опыт и выделяет новые грани уже знакомой и любимой многими композиции No.4 Après l’Amour.Новая версия аромата усилена современными, наэлектризованными солнечными и озоновыми нотами, чтобы сделать его ещё более ярким. Экзотические цитрусы юдзу и помело помогают сбалансировать ноту манго.Сохраняя характер и эффектность оригинальной формулы № 4, композиция раскрывает её жизнерадостную и энергичную сторону.",Распылять на кожу с расстояния 20-30 см.,Великобритания
31,https://goldapple.ru/19000268485-hero,BURBERRY HERO,9 400₽,4.8,"Новый мужчина, новый герой. Откройте для себя Hero Eau de Toilette - новый аромат от Burberry, запущенный под креативным видением Riccardo Tisci.Hero - загадочный и авантюрный герой современного времени, который находится в постоянном процессе трансформации, поиске своей экстраординарности.Туалетная вода Burberry Hero - идеальный баланс силы и свежести. Отражение двойственности силы и чувствительности современного мужчины.Смелый аромат открывается нотами бодрящего бергамота, которые переплетаются с можжевельником и черным перцем, глубину аромату придает трио теплых кедровых масел из разных горных пород.Аромат Burberry Hero – это альянс мощи и свежести, символизирующий двойственную природу современного мужчины, сильного и в то же время чувственного.Свежий, солнечный, смелый – аромат проникнут искристыми нотами бергамота, живительными аккордами можжевельника и пряностью черного перца. Можжевельник, классический ингредиент британской парфюмерной палитры, наполняет аромат стойкой свежестью.Глубину композиции придают масла из трех видов горного кедра, произрастающего на склонах североамериканских Аппалачей, африканского Атласа и азиатских Гималаев. Флакон Burberry Hero от Риккардо Тиши представляет собой новую интерпретацию классического флакона Burberry.Столь же яркий и современный, как и аромат, который в нем заключен, он украшен рельефной монограммой TB и изогнутым логотипом Burberry, а его форма напоминает конское копыто.","Наносить аромат равномерно на одежду, кожу и волосы.",Испания
